1720276876.093210 client started (157705): version 3.2a, socket /tmp/tmux-1000/default, protocol 8
1720276876.093226 on Linux 6.9.3-76060903-generic #202405300957~1718348209~22.04~7817b67 SMP PREEMPT_DYNAMIC Mon J
1720276876.094018 sending message 112 to peer 0x5b12572070f0 (12 bytes)
1720276876.094020 sending message 112 to peer 0x5b12572070f0 (13 bytes)
1720276876.094022 sending message 112 to peer 0x5b12572070f0 (13 bytes)
1720276876.094024 sending message 112 to peer 0x5b12572070f0 (13 bytes)
1720276876.094025 sending message 112 to peer 0x5b12572070f0 (8 bytes)
1720276876.094027 sending message 112 to peer 0x5b12572070f0 (13 bytes)
1720276876.094029 sending message 112 to peer 0x5b12572070f0 (13 bytes)
1720276876.094031 sending message 112 to peer 0x5b12572070f0 (13 bytes)
1720276876.094033 sending message 112 to peer 0x5b12572070f0 (13 bytes)
1720276876.094035 sending message 112 to peer 0x5b12572070f0 (13 bytes)
1720276876.094036 sending message 112 to peer 0x5b12572070f0 (12 bytes)
1720276876.094038 sending message 112 to peer 0x5b12572070f0 (12 bytes)
1720276876.094040 sending message 112 to peer 0x5b12572070f0 (12 bytes)
1720276876.094042 sending message 112 to peer 0x5b12572070f0 (12 bytes)
1720276876.094044 sending message 112 to peer 0x5b12572070f0 (13 bytes)
1720276876.094046 sending message 112 to peer 0x5b12572070f0 (8 bytes)
1720276876.094047 sending message 112 to peer 0x5b12572070f0 (13 bytes)
1720276876.094049 sending message 112 to peer 0x5b12572070f0 (13 bytes)
1720276876.094051 sending message 112 to peer 0x5b12572070f0 (13 bytes)
1720276876.094053 sending message 112 to peer 0x5b12572070f0 (13 bytes)
1720276876.094055 sending message 112 to peer 0x5b12572070f0 (13 bytes)
1720276876.094057 sending message 112 to peer 0x5b12572070f0 (13 bytes)
1720276876.094058 sending message 112 to peer 0x5b12572070f0 (13 bytes)
1720276876.094060 sending message 112 to peer 0x5b12572070f0 (12 bytes)
1720276876.094062 sending message 112 to peer 0x5b12572070f0 (12 bytes)
1720276876.094067 sending message 112 to peer 0x5b12572070f0 (12 bytes)
1720276876.094069 sending message 112 to peer 0x5b12572070f0 (8 bytes)
1720276876.094071 sending message 112 to peer 0x5b12572070f0 (12 bytes)
1720276876.094073 sending message 112 to peer 0x5b12572070f0 (13 bytes)
1720276876.094075 sending message 112 to peer 0x5b12572070f0 (13 bytes)
1720276876.094076 sending message 112 to peer 0x5b12572070f0 (13 bytes)
1720276876.094078 sending message 112 to peer 0x5b12572070f0 (13 bytes)
1720276876.094080 sending message 112 to peer 0x5b12572070f0 (13 bytes)
1720276876.094082 sending message 112 to peer 0x5b12572070f0 (13 bytes)
1720276876.094084 sending message 112 to peer 0x5b12572070f0 (13 bytes)
1720276876.094086 sending message 112 to peer 0x5b12572070f0 (13 bytes)
1720276876.094087 sending message 112 to peer 0x5b12572070f0 (12 bytes)
1720276876.094089 sending message 112 to peer 0x5b12572070f0 (10 bytes)
1720276876.094091 sending message 112 to peer 0x5b12572070f0 (12 bytes)
1720276876.094093 sending message 112 to peer 0x5b12572070f0 (12 bytes)
1720276876.094095 sending message 112 to peer 0x5b12572070f0 (12 bytes)
1720276876.094096 sending message 112 to peer 0x5b12572070f0 (13 bytes)
1720276876.094098 sending message 112 to peer 0x5b12572070f0 (13 bytes)
1720276876.094100 sending message 112 to peer 0x5b12572070f0 (13 bytes)
1720276876.094102 sending message 112 to peer 0x5b12572070f0 (13 bytes)
1720276876.094104 sending message 112 to peer 0x5b12572070f0 (13 bytes)
1720276876.094106 sending message 112 to peer 0x5b12572070f0 (13 bytes)
1720276876.094108 sending message 112 to peer 0x5b12572070f0 (13 bytes)
1720276876.094109 sending message 112 to peer 0x5b12572070f0 (10 bytes)
1720276876.094111 sending message 112 to peer 0x5b12572070f0 (13 bytes)
1720276876.094113 sending message 112 to peer 0x5b12572070f0 (12 bytes)
1720276876.094115 sending message 112 to peer 0x5b12572070f0 (12 bytes)
1720276876.094117 sending message 112 to peer 0x5b12572070f0 (12 bytes)
1720276876.094118 sending message 112 to peer 0x5b12572070f0 (10 bytes)
1720276876.094120 sending message 112 to peer 0x5b12572070f0 (10 bytes)
1720276876.094122 sending message 112 to peer 0x5b12572070f0 (10 bytes)
1720276876.094124 sending message 112 to peer 0x5b12572070f0 (12 bytes)
1720276876.094126 sending message 112 to peer 0x5b12572070f0 (13 bytes)
1720276876.094128 sending message 112 to peer 0x5b12572070f0 (13 bytes)
1720276876.094129 sending message 112 to peer 0x5b12572070f0 (13 bytes)
1720276876.094131 sending message 112 to peer 0x5b12572070f0 (13 bytes)
1720276876.094133 sending message 112 to peer 0x5b12572070f0 (13 bytes)
1720276876.094135 sending message 112 to peer 0x5b12572070f0 (10 bytes)
1720276876.094137 sending message 112 to peer 0x5b12572070f0 (11 bytes)
1720276876.094138 sending message 112 to peer 0x5b12572070f0 (12 bytes)
1720276876.094140 sending message 112 to peer 0x5b12572070f0 (12 bytes)
1720276876.094142 sending message 112 to peer 0x5b12572070f0 (12 bytes)
1720276876.094144 sending message 112 to peer 0x5b12572070f0 (12 bytes)
1720276876.094146 sending message 112 to peer 0x5b12572070f0 (12 bytes)
1720276876.094148 sending message 112 to peer 0x5b12572070f0 (11 bytes)
1720276876.094149 sending message 112 to peer 0x5b12572070f0 (12 bytes)
1720276876.094151 sending message 112 to peer 0x5b12572070f0 (12 bytes)
1720276876.094153 sending message 112 to peer 0x5b12572070f0 (13 bytes)
1720276876.094155 sending message 112 to peer 0x5b12572070f0 (13 bytes)
1720276876.094157 sending message 112 to peer 0x5b12572070f0 (13 bytes)
1720276876.094159 sending message 112 to peer 0x5b12572070f0 (13 bytes)
1720276876.094160 sending message 112 to peer 0x5b12572070f0 (13 bytes)
1720276876.094162 sending message 112 to peer 0x5b12572070f0 (10 bytes)
1720276876.094164 sending message 112 to peer 0x5b12572070f0 (9 bytes)
1720276876.094166 sending message 112 to peer 0x5b12572070f0 (12 bytes)
1720276876.094168 sending message 112 to peer 0x5b12572070f0 (13 bytes)
1720276876.094170 sending message 112 to peer 0x5b12572070f0 (13 bytes)
1720276876.094174 sending message 112 to peer 0x5b12572070f0 (13 bytes)
1720276876.094176 sending message 112 to peer 0x5b12572070f0 (13 bytes)
1720276876.094178 sending message 112 to peer 0x5b12572070f0 (13 bytes)
1720276876.094180 sending message 112 to peer 0x5b12572070f0 (9 bytes)
1720276876.094181 sending message 112 to peer 0x5b12572070f0 (12 bytes)
1720276876.094190 sending message 112 to peer 0x5b12572070f0 (13 bytes)
1720276876.094193 sending message 112 to peer 0x5b12572070f0 (13 bytes)
1720276876.094195 sending message 112 to peer 0x5b12572070f0 (13 bytes)
1720276876.094196 sending message 112 to peer 0x5b12572070f0 (13 bytes)
1720276876.094198 sending message 112 to peer 0x5b12572070f0 (13 bytes)
1720276876.094200 sending message 112 to peer 0x5b12572070f0 (11 bytes)
1720276876.094202 sending message 112 to peer 0x5b12572070f0 (12 bytes)
1720276876.094204 sending message 112 to peer 0x5b12572070f0 (13 bytes)
1720276876.094206 sending message 112 to peer 0x5b12572070f0 (13 bytes)
1720276876.094207 sending message 112 to peer 0x5b12572070f0 (13 bytes)
1720276876.094209 sending message 112 to peer 0x5b12572070f0 (13 bytes)
1720276876.094211 sending message 112 to peer 0x5b12572070f0 (13 bytes)
1720276876.094213 sending message 112 to peer 0x5b12572070f0 (11 bytes)
1720276876.094215 sending message 112 to peer 0x5b12572070f0 (12 bytes)
1720276876.094217 sending message 112 to peer 0x5b12572070f0 (12 bytes)
1720276876.094218 sending message 112 to peer 0x5b12572070f0 (12 bytes)
1720276876.094220 sending message 112 to peer 0x5b12572070f0 (12 bytes)
1720276876.094222 sending message 112 to peer 0x5b12572070f0 (12 bytes)
1720276876.094224 sending message 112 to peer 0x5b12572070f0 (21 bytes)
1720276876.094226 sending message 112 to peer 0x5b12572070f0 (12 bytes)
1720276876.094228 sending message 112 to peer 0x5b12572070f0 (9 bytes)
1720276876.094229 sending message 112 to peer 0x5b12572070f0 (6 bytes)
1720276876.094231 sending message 112 to peer 0x5b12572070f0 (13 bytes)
1720276876.094233 sending message 112 to peer 0x5b12572070f0 (10 bytes)
1720276876.094235 sending message 112 to peer 0x5b12572070f0 (24 bytes)
1720276876.094237 sending message 112 to peer 0x5b12572070f0 (13 bytes)
1720276876.094239 sending message 112 to peer 0x5b12572070f0 (9 bytes)
1720276876.094240 sending message 112 to peer 0x5b12572070f0 (70 bytes)
1720276876.094242 sending message 112 to peer 0x5b12572070f0 (69 bytes)
1720276876.094244 sending message 112 to peer 0x5b12572070f0 (12 bytes)
1720276876.094246 sending message 112 to peer 0x5b12572070f0 (10 bytes)
1720276876.094248 sending message 112 to peer 0x5b12572070f0 (10 bytes)
1720276876.094250 sending message 112 to peer 0x5b12572070f0 (24 bytes)
1720276876.094252 sending message 112 to peer 0x5b12572070f0 (13 bytes)
1720276876.094253 sending message 112 to peer 0x5b12572070f0 (10 bytes)
1720276876.094255 sending message 112 to peer 0x5b12572070f0 (10 bytes)
1720276876.094257 sending message 112 to peer 0x5b12572070f0 (10 bytes)
1720276876.094259 sending message 112 to peer 0x5b12572070f0 (13 bytes)
1720276876.094261 sending message 112 to peer 0x5b12572070f0 (15 bytes)
1720276876.094263 sending message 112 to peer 0x5b12572070f0 (5 bytes)
1720276876.094265 sending message 104 to peer 0x5b12572070f0 (0 bytes)
1720276876.094267 sending message 110 to peer 0x5b12572070f0 (0 bytes)
1720276876.094269 sending message 107 to peer 0x5b12572070f0 (4 bytes)
1720276876.094271 sending message 105 to peer 0x5b12572070f0 (18 bytes)
1720276876.094273 sending message 105 to peer 0x5b12572070f0 (21 bytes)
1720276876.094275 sending message 105 to peer 0x5b12572070f0 (8 bytes)
1720276876.094277 sending message 105 to peer 0x5b12572070f0 (24 bytes)
1720276876.094279 sending message 105 to peer 0x5b12572070f0 (20 bytes)
1720276876.094280 sending message 105 to peer 0x5b12572070f0 (28 bytes)
1720276876.094282 sending message 105 to peer 0x5b12572070f0 (29 bytes)
1720276876.094284 sending message 105 to peer 0x5b12572070f0 (17 bytes)
1720276876.094286 sending message 105 to peer 0x5b12572070f0 (23 bytes)
1720276876.094291 sending message 105 to peer 0x5b12572070f0 (54 bytes)
1720276876.094292 sending message 105 to peer 0x5b12572070f0 (37 bytes)
1720276876.094294 sending message 105 to peer 0x5b12572070f0 (27 bytes)
1720276876.094296 sending message 105 to peer 0x5b12572070f0 (21 bytes)
1720276876.094298 sending message 105 to peer 0x5b12572070f0 (19 bytes)
1720276876.094300 sending message 105 to peer 0x5b12572070f0 (23 bytes)
1720276876.094302 sending message 105 to peer 0x5b12572070f0 (23 bytes)
1720276876.094304 sending message 105 to peer 0x5b12572070f0 (22 bytes)
1720276876.094305 sending message 105 to peer 0x5b12572070f0 (44 bytes)
1720276876.094307 sending message 105 to peer 0x5b12572070f0 (13 bytes)
1720276876.094309 sending message 105 to peer 0x5b12572070f0 (384 bytes)
1720276876.094311 sending message 105 to peer 0x5b12572070f0 (84 bytes)
1720276876.094313 sending message 105 to peer 0x5b12572070f0 (47 bytes)
1720276876.094315 sending message 105 to peer 0x5b12572070f0 (31 bytes)
1720276876.094317 sending message 105 to peer 0x5b12572070f0 (23 bytes)
1720276876.094319 sending message 105 to peer 0x5b12572070f0 (11 bytes)
1720276876.094321 sending message 105 to peer 0x5b12572070f0 (17 bytes)
1720276876.094323 sending message 105 to peer 0x5b12572070f0 (30 bytes)
1720276876.094324 sending message 105 to peer 0x5b12572070f0 (41 bytes)
1720276876.094326 sending message 105 to peer 0x5b12572070f0 (24 bytes)
1720276876.094328 sending message 105 to peer 0x5b12572070f0 (20 bytes)
1720276876.094330 sending message 105 to peer 0x5b12572070f0 (33 bytes)
1720276876.094332 sending message 105 to peer 0x5b12572070f0 (41 bytes)
1720276876.094334 sending message 105 to peer 0x5b12572070f0 (19 bytes)
1720276876.094336 sending message 105 to peer 0x5b12572070f0 (19 bytes)
1720276876.094338 sending message 105 to peer 0x5b12572070f0 (15 bytes)
1720276876.094340 sending message 105 to peer 0x5b12572070f0 (52 bytes)
1720276876.094341 sending message 105 to peer 0x5b12572070f0 (18 bytes)
1720276876.094343 sending message 105 to peer 0x5b12572070f0 (77 bytes)
1720276876.094345 sending message 105 to peer 0x5b12572070f0 (184 bytes)
1720276876.094347 sending message 105 to peer 0x5b12572070f0 (42 bytes)
1720276876.094349 sending message 105 to peer 0x5b12572070f0 (18 bytes)
1720276876.094351 sending message 105 to peer 0x5b12572070f0 (18 bytes)
1720276876.094353 sending message 105 to peer 0x5b12572070f0 (20 bytes)
1720276876.094355 sending message 105 to peer 0x5b12572070f0 (20 bytes)
1720276876.094356 sending message 105 to peer 0x5b12572070f0 (75 bytes)
1720276876.094358 sending message 105 to peer 0x5b12572070f0 (34 bytes)
1720276876.094360 sending message 105 to peer 0x5b12572070f0 (11 bytes)
1720276876.094362 sending message 105 to peer 0x5b12572070f0 (8 bytes)
1720276876.094364 sending message 105 to peer 0x5b12572070f0 (32 bytes)
1720276876.094366 sending message 105 to peer 0x5b12572070f0 (1519 bytes)
1720276876.094370 sending message 105 to peer 0x5b12572070f0 (49 bytes)
1720276876.094372 sending message 105 to peer 0x5b12572070f0 (7 bytes)
1720276876.094375 sending message 105 to peer 0x5b12572070f0 (11 bytes)
1720276876.094378 sending message 105 to peer 0x5b12572070f0 (57 bytes)
1720276876.094381 sending message 105 to peer 0x5b12572070f0 (14 bytes)
1720276876.094384 sending message 105 to peer 0x5b12572070f0 (42 bytes)
1720276876.094387 sending message 105 to peer 0x5b12572070f0 (23 bytes)
1720276876.094389 sending message 105 to peer 0x5b12572070f0 (30 bytes)
1720276876.094392 sending message 105 to peer 0x5b12572070f0 (35 bytes)
1720276876.094395 sending message 105 to peer 0x5b12572070f0 (73 bytes)
1720276876.094398 sending message 105 to peer 0x5b12572070f0 (38 bytes)
1720276876.094400 sending message 105 to peer 0x5b12572070f0 (46 bytes)
1720276876.094402 sending message 105 to peer 0x5b12572070f0 (25 bytes)
1720276876.094404 sending message 105 to peer 0x5b12572070f0 (60 bytes)
1720276876.094406 sending message 105 to peer 0x5b12572070f0 (71 bytes)
1720276876.094407 sending message 105 to peer 0x5b12572070f0 (32 bytes)
1720276876.094413 sending message 105 to peer 0x5b12572070f0 (16 bytes)
1720276876.094415 sending message 105 to peer 0x5b12572070f0 (59 bytes)
1720276876.094416 sending message 105 to peer 0x5b12572070f0 (68 bytes)
1720276876.094418 sending message 105 to peer 0x5b12572070f0 (16 bytes)
1720276876.094420 sending message 106 to peer 0x5b12572070f0 (0 bytes)
1720276876.094426 sending message 200 to peer 0x5b12572070f0 (4 bytes)
1720276876.094428 client loop enter
1720276876.094455 client_signal: Child exited
1720276876.125377 peer 0x5b12572070f0 message 207
1720276876.125388 sending message 208 to peer 0x5b12572070f0 (0 bytes)
1720276881.141813 peer 0x5b12572070f0 message 203
1720276881.141825 sending message 205 to peer 0x5b12572070f0 (0 bytes)
1720276881.142070 peer 0x5b12572070f0 message 204
1720276881.142074 client loop exit
